epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,3034.79,1.30004,0.79026,1.2173,0.84626,0.68287,0.76962,0.40171,1.67631,0.99626,1.34926,0.0004555,0.0004555,0.0004555
57,3470.56,1.37842,0.80231,1.23316,0.84527,0.67152,0.76006,0.39469,1.70826,1.01876,1.34219,0.0004456,0.0004456,0.0004456
58,3897.26,1.31397,0.7743,1.21287,0.84526,0.64132,0.74082,0.39605,1.69568,1.10593,1.3365,0.0004357,0.0004357,0.0004357
59,4318.01,1.31388,0.78438,1.21822,0.84127,0.68123,0.76837,0.39523,1.75151,1.07852,1.35778,0.0004258,0.0004258,0.0004258
60,4743.22,1.31252,0.78155,1.19978,0.85687,0.6548,0.75349,0.40204,1.72739,1.08365,1.35406,0.0004159,0.0004159,0.0004159
61,5178.78,1.2739,0.76231,1.2132,0.84146,0.66451,0.75592,0.38975,1.76615,1.07755,1.38912,0.000406,0.000406,0.000406
61,431.131,1.28484,0.77379,1.18892,0.87656,0.67254,0.77437,0.40821,1.6645,1.02284,1.37119,0.000406,0.000406,0.000406
62,862.456,1.25973,0.75939,1.20387,0.84193,0.65919,0.76186,0.40176,1.62264,1.00517,1.34707,0.0003961,0.0003961,0.0003961
63,1296.53,1.242,0.74444,1.16983,0.83363,0.66112,0.74983,0.38712,1.69526,1.08371,1.39015,0.0003862,0.0003862,0.0003862
64,1727.26,1.24077,0.73296,1.17531,0.85521,0.69177,0.77882,0.42591,1.6069,0.9925,1.35347,0.0003763,0.0003763,0.0003763
65,2166.1,1.27964,0.74677,1.17218,0.85203,0.68056,0.76637,0.39872,1.67079,0.99097,1.37423,0.0003664,0.0003664,0.0003664
66,2598.07,1.28294,0.7512,1.18092,0.83997,0.67291,0.75909,0.38392,1.68057,1.02898,1.38119,0.0003565,0.0003565,0.0003565
65,431.03,1.21745,0.74615,1.19407,0.85113,0.67686,0.76991,0.38747,1.5951,0.90515,1.39566,0.0003664,0.0003664,0.0003664
66,870.405,1.24959,0.7486,1.18617,0.86218,0.66945,0.76662,0.4137,1.51879,0.90063,1.35796,0.0003565,0.0003565,0.0003565
67,1335.28,1.24724,0.74055,1.16664,0.88673,0.66948,0.77682,0.41928,1.56143,0.92372,1.39861,0.0003466,0.0003466,0.0003466
68,1790.16,1.28017,0.73767,1.16144,0.88058,0.66421,0.77482,0.42849,1.52595,0.94713,1.38572,0.0003367,0.0003367,0.0003367
69,459.405,1.05108,0.64812,1.11218,0.86161,0.66895,0.76329,0.40687,1.58689,0.98295,1.41863,0.0003268,0.0003268,0.0003268
70,958.118,1.09493,0.65441,1.11064,0.83997,0.7048,0.79181,0.41931,1.53899,0.90505,1.39806,0.0003169,0.0003169,0.0003169
